observed Discharge Funudsbach from TIWAG gauge and H-Loggers [m3/s]
YYYY	MM	DD	HH	1595	1935	2012	2021
YYYY	MM	DD	HH	221847.733	219661.222	218687.432	218296.567
YYYY	MM	DD	HH	42720.77	42183.67	42391.33	42459.4
YYYY	MM	DD	HH	Fundus 1989	Fundus A	Fundus B	Fundus C
2013	1	1	1	0.128	-9999	-9999	-9999
2013	1	1	2	0.128	-9999	-9999	-9999
2013	1	1	3	0.128	-9999	-9999	-9999
2013	1	1	4	0.128	-9999	-9999	-9999
2013	1	1	5	0.128	-9999	-9999	-9999
2013	1	1	6	0.128	-9999	-9999	-9999
2013	1	1	7	0.128	-9999	-9999	-9999
2013	1	1	8	0.127	-9999	-9999	-9999
2013	1	1	9	0.128	-9999	-9999	-9999
2013	1	1	10	0.128	-9999	-9999	-9999
2013	1	1	11	0.128	-9999	-9999	-9999
2013	1	1	12	0.128	-9999	-9999	-9999
2013	1	1	13	0.128	-9999	-9999	-9999
2013	1	1	14	0.128	-9999	-9999	-9999
2013	1	1	15	0.129	-9999	-9999	-9999
2013	1	1	16	0.128	-9999	-9999	-9999
2013	1	1	17	0.128	-9999	-9999	-9999
2013	1	1	18	0.128	-9999	-9999	-9999
2013	1	1	19	0.127	-9999	-9999	-9999
2013	1	1	20	0.126	-9999	-9999	-9999
2013	1	1	21	0.127	-9999	-9999	-9999
2013	1	1	22	0.127	-9999	-9999	-9999
2013	1	1	23	0.127	-9999	-9999	-9999
2013	1	2	0	0.127	-9999	-9999	-9999
2013	1	2	1	0.127	-9999	-9999	-9999
2013	1	2	2	0.128	-9999	-9999	-9999
2013	1	2	3	0.128	-9999	-9999	-9999
2013	1	2	4	0.127	-9999	-9999	-9999
2013	1	2	5	0.127	-9999	-9999	-9999
2013	1	2	6	0.128	-9999	-9999	-9999
2013	1	2	7	0.128	-9999	-9999	-9999
2013	1	2	8	0.129	-9999	-9999	-9999
2013	1	2	9	0.13	-9999	-9999	-9999
2013	1	2	10	0.13	-9999	-9999	-9999
2013	1	2	11	0.129	-9999	-9999	-9999
2013	1	2	12	0.128	-9999	-9999	-9999
2013	1	2	13	0.128	-9999	-9999	-9999
2013	1	2	14	0.127	-9999	-9999	-9999
2013	1	2	15	0.128	-9999	-9999	-9999
2013	1	2	16	0.127	-9999	-9999	-9999
2013	1	2	17	0.127	-9999	-9999	-9999
2013	1	2	18	0.126	-9999	-9999	-9999
2013	1	2	19	0.125	-9999	-9999	-9999
2013	1	2	20	0.125	-9999	-9999	-9999
2013	1	2	21	0.125	-9999	-9999	-9999
2013	1	2	22	0.125	-9999	-9999	-9999
2013	1	2	23	0.124	-9999	-9999	-9999
2013	1	3	0	0.118	-9999	-9999	-9999
2013	1	3	1	0.11	-9999	-9999	-9999
2013	1	3	2	0.104	-9999	-9999	-9999
2013	1	3	3	0.101	-9999	-9999	-9999
2013	1	3	4	0.098	-9999	-9999	-9999
2013	1	3	5	0.101	-9999	-9999	-9999
2013	1	3	6	0.106	-9999	-9999	-9999
2013	1	3	7	0.109	-9999	-9999	-9999
2013	1	3	8	0.112	-9999	-9999	-9999
2013	1	3	9	0.119	-9999	-9999	-9999
2013	1	3	10	0.134	-9999	-9999	-9999
2013	1	3	11	0.147	-9999	-9999	-9999
2013	1	3	12	0.154	-9999	-9999	-9999
